F,Average_M_A_ratio
0.1,0.19332009727328386
0.10781895093053742,0.23055453090997716
0.11624926179761638,0.23899031426076325
0.125338734534684,0.24438237269914226
0.13513890868490755,0.22609091149137894
0.14570535364304424,0.2618721205780592
0.1570979837475599,0.18232790129320592
0.16938139800964527,0.26861496372572286
0.18262524640547778,0.21984960540850487
0.19690462480869514,0.26006755741766496
0.21230050080244584,0.28421760375028715
0.2289001727854743,0.16075711051961417
0.24679776497548592,0.25797505881634114
0.26609476111658226,0.24857400016206457
0.2869005799170186,0.19230566730651555
0.3093331954801577,0.20176289027401031
0.33351980624661465,0.31942745407948886
0.3595975562406609,0.17510221264802278
0.38771431271053,0.24121299529109197
0.4180295045720368,0.25251237326220144
0.4507150264096931,0.21537581110712226
0.48595621316122584,0.27417709247274996
0.5239528910121999,0.27568961864237423
0.564920510459576,0.2723842494911692
0.6090913679689519,0.19171692677019206
0.6567159231525835,0.28409590943951873
0.70806421893691,0.20160251929058678
0.7634274127722801,0.2705973749831558
0.823119427567216,0.30714923425347185
0.8874787317084172,0.4418234915325171
0.9568702582596545,0.4431746088901337
1.0316874742218836,0.39454670237829487
1.1123546115877938,0.32963771794712404
1.1993290728414134,0.4159746991316792
1.2931040245425531,0.36741926860687546
1.39421119370234,0.34073086062519886
1.503223882805986,0.43792637215977903
1.6207602205787055,0.41700349310918283
1.7474866669274256,0.39842465953839806
1.8841217919321651,0.6083411241387842
2.0314403503149037,0.5413591569270005
2.190277674489163,0.5704549415827951
2.361534411099987,0.6611502466881443
2.5461816279116514,0.5207495630871053
2.7452663200004226,0.5339381075676313
2.959917346473826,0.7476420699632312
3.1913518313790803,0.5868688942589779
3.4408820650954177,0.6244604975981347
3.7099229453428917,0.5732554872388089
4.0,0.45496348302858314
