F,Average_M_A_ratio
0.1,0.2048818215340558
0.10781895093053742,0.20020692130829665
0.11624926179761638,0.205770144837914
0.125338734534684,0.20113565938789416
0.13513890868490755,0.18993239179714638
0.14570535364304424,0.19995554933945905
0.1570979837475599,0.20957857919495548
0.16938139800964527,0.19918471978978422
0.18262524640547778,0.19908413438903966
0.19690462480869514,0.19860426920934726
0.21230050080244584,0.1987685038797672
0.2289001727854743,0.19492588019706913
0.24679776497548592,0.19642798420312138
0.26609476111658226,0.19145655447303256
0.2869005799170186,0.19518821027110264
0.3093331954801577,0.19613654868699693
0.33351980624661465,0.19403756024087773
0.3595975562406609,0.20486116122281509
0.38771431271053,0.21103012159257203
0.4180295045720368,0.21510830626123675
0.4507150264096931,0.2083493293478157
0.48595621316122584,0.21300240953586752
0.5239528910121999,0.25109305968660245
0.564920510459576,0.2371910678368586
0.6090913679689519,0.24350498331015732
0.6567159231525835,0.24367579159091132
0.70806421893691,0.2988518974259113
0.7634274127722801,0.25111459856958274
0.823119427567216,0.2646613383542809
0.8874787317084172,0.26845717378687695
0.9568702582596545,0.26440354734439714
1.0316874742218836,0.28488903707801816
1.1123546115877938,0.3056504181982383
1.1993290728414134,0.33946408479438933
1.2931040245425531,0.31678329694475976
1.39421119370234,0.34909455480877355
1.503223882805986,0.3766694768587567
1.6207602205787055,0.3976669492847996
1.7474866669274256,0.41153139040192555
1.8841217919321651,0.39143739332533595
2.0314403503149037,0.4215719247393493
2.190277674489163,0.4107966814303691
2.361534411099987,0.492696728913499
2.5461816279116514,0.48797695507713673
2.7452663200004226,0.5246763062744643
2.959917346473826,0.4734538605317528
3.1913518313790803,0.4918731622392365
3.4408820650954177,0.5686347466201294
3.7099229453428917,0.44518130301752185
4.0,0.5636221106810093
