F,Average_M_A_ratio
0.1,0.1452817139994776
0.2,0.16836694341487116
0.30000000000000004,0.18269019504392645
0.4,0.18727292177055943
0.5,0.17475368443845649
0.6,0.20350721851751064
0.7000000000000001,0.21649762894004504
0.8,0.21481710545783517
0.9,0.20701681322271412
1.0,0.23043879160661762
1.1,0.2639998056062055
1.2000000000000002,0.2824378676129677
1.3000000000000003,0.2836501258456743
1.4000000000000001,0.3087526164202547
1.5000000000000002,0.2963931426983872
1.6,0.2665774973518009
1.7000000000000002,0.3439830908073315
1.8000000000000003,0.3685826574574721
1.9000000000000001,0.3444624684155469
2.0,0.36075825041808035
2.1,0.3065607755987878
2.2,0.3431207413192391
2.3000000000000003,0.3066983199450017
2.4000000000000004,0.3841420545927198
2.5000000000000004,0.4262564781283641
2.6,0.425683282923344
2.7,0.4737196050511979
2.8000000000000003,0.43918718128128714
2.9000000000000004,0.45980535178018095
3.0000000000000004,0.36411672986182275
3.1,0.4013653290856103
3.2,0.42113175087341015
3.3000000000000003,0.49569724797662107
3.4000000000000004,0.5080980589765806
3.5000000000000004,0.49150312240286365
3.6,0.5301891262134416
3.7,0.4998298098375517
3.8000000000000003,0.5290684423692315
3.9000000000000004,0.4889993693525526
4.0,0.4566632615008863
