Simulation,Transitions
24,"{'M_and_U_to_M_and_M': 33, 'U_and_M_to_U_and_U': 34, 'Polymerase_M_to_A': 31, 'M_and_A_to_M_and_M': 35, 'A_and_M_to_A_and_A': 22, 'U_and_A_to_U_and_U': 37, 'A_and_U_to_A_and_A': 40}"
25,"{'M_and_U_to_M_and_M': 23, 'U_and_M_to_U_and_U': 17, 'Polymerase_M_to_A': 45, 'U_and_A_to_U_and_U': 15, 'A_and_U_to_A_and_A': 24, 'A_and_M_to_A_and_A': 25, 'M_and_A_to_M_and_M': 53}"
26,"{'M_and_U_to_M_and_M': 56, 'U_and_M_to_U_and_U': 33, 'Polymerase_M_to_A': 36, 'U_and_A_to_U_and_U': 43, 'A_and_U_to_A_and_A': 17, 'A_and_M_to_A_and_A': 17, 'M_and_A_to_M_and_M': 23}"
27,"{'U_and_M_to_U_and_U': 24, 'Polymerase_M_to_A': 51, 'M_and_U_to_M_and_M': 36, 'A_and_U_to_A_and_A': 17, 'M_and_A_to_M_and_M': 56, 'A_and_M_to_A_and_A': 18, 'U_and_A_to_U_and_U': 24}"
28,"{'U_and_M_to_U_and_U': 22, 'M_and_U_to_M_and_M': 30, 'Polymerase_M_to_A': 25, 'M_and_A_to_M_and_M': 8, 'A_and_M_to_A_and_A': 14, 'U_and_A_to_U_and_U': 59, 'A_and_U_to_A_and_A': 36}"
29,"{'M_and_U_to_M_and_M': 17, 'Polymerase_M_to_A': 47, 'U_and_A_to_U_and_U': 4, 'U_and_M_to_U_and_U': 7, 'A_and_M_to_A_and_A': 28, 'A_and_U_to_A_and_A': 8, 'M_and_A_to_M_and_M': 54}"
30,"{'U_and_M_to_U_and_U': 28, 'M_and_U_to_M_and_M': 32, 'Polymerase_M_to_A': 42, 'A_and_M_to_A_and_A': 20, 'M_and_A_to_M_and_M': 32, 'U_and_A_to_U_and_U': 40, 'A_and_U_to_A_and_A': 27}"
31,"{'U_and_M_to_U_and_U': 13, 'M_and_U_to_M_and_M': 29, 'Polymerase_M_to_A': 53, 'U_and_A_to_U_and_U': 24, 'M_and_A_to_M_and_M': 66, 'A_and_M_to_A_and_A': 29, 'A_and_U_to_A_and_A': 20}"
32,"{'M_and_U_to_M_and_M': 26, 'U_and_M_to_U_and_U': 36, 'Polymerase_M_to_A': 32, 'M_and_A_to_M_and_M': 19, 'A_and_M_to_A_and_A': 8, 'U_and_A_to_U_and_U': 43, 'A_and_U_to_A_and_A': 30}"
33,"{'M_and_U_to_M_and_M': 37, 'U_and_M_to_U_and_U': 24, 'Polymerase_M_to_A': 49, 'M_and_A_to_M_and_M': 42, 'U_and_A_to_U_and_U': 29, 'A_and_M_to_A_and_A': 16, 'A_and_U_to_A_and_A': 24}"
34,"{'M_and_U_to_M_and_M': 15, 'U_and_M_to_U_and_U': 27, 'Polymerase_M_to_A': 17, 'A_and_M_to_A_and_A': 13, 'A_and_U_to_A_and_A': 30, 'M_and_A_to_M_and_M': 8, 'U_and_A_to_U_and_U': 50}"
35,"{'M_and_U_to_M_and_M': 37, 'U_and_M_to_U_and_U': 22, 'Polymerase_M_to_A': 42, 'A_and_M_to_A_and_A': 24, 'U_and_A_to_U_and_U': 30, 'M_and_A_to_M_and_M': 43, 'A_and_U_to_A_and_A': 26}"
36,"{'M_and_U_to_M_and_M': 42, 'U_and_M_to_U_and_U': 38, 'Polymerase_M_to_A': 34, 'A_and_M_to_A_and_A': 14, 'U_and_A_to_U_and_U': 42, 'A_and_U_to_A_and_A': 32, 'M_and_A_to_M_and_M': 27}"
37,"{'M_and_U_to_M_and_M': 40, 'Polymerase_M_to_A': 41, 'U_and_M_to_U_and_U': 36, 'A_and_U_to_A_and_A': 27, 'U_and_A_to_U_and_U': 52, 'M_and_A_to_M_and_M': 25, 'A_and_M_to_A_and_A': 16}"
38,"{'U_and_M_to_U_and_U': 15, 'Polymerase_M_to_A': 59, 'M_and_U_to_M_and_M': 41, 'A_and_M_to_A_and_A': 26, 'U_and_A_to_U_and_U': 44, 'M_and_A_to_M_and_M': 44, 'A_and_U_to_A_and_A': 22}"
39,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 21, 'Polymerase_M_to_A': 55, 'A_and_U_to_A_and_A': 10, 'M_and_A_to_M_and_M': 59, 'A_and_M_to_A_and_A': 27, 'U_and_A_to_U_and_U': 6}"
40,"{'U_and_M_to_U_and_U': 14, 'Polymerase_M_to_A': 52, 'M_and_U_to_M_and_M': 31, 'A_and_M_to_A_and_A': 29, 'A_and_U_to_A_and_A': 13, 'M_and_A_to_M_and_M': 58, 'U_and_A_to_U_and_U': 16}"
41,"{'U_and_M_to_U_and_U': 29, 'M_and_U_to_M_and_M': 27, 'Polymerase_M_to_A': 40, 'M_and_A_to_M_and_M': 37, 'A_and_M_to_A_and_A': 19, 'A_and_U_to_A_and_A': 34, 'U_and_A_to_U_and_U': 32}"
42,"{'U_and_M_to_U_and_U': 17, 'M_and_U_to_M_and_M': 21, 'Polymerase_M_to_A': 56, 'M_and_A_to_M_and_M': 68, 'A_and_U_to_A_and_A': 16, 'A_and_M_to_A_and_A': 30, 'U_and_A_to_U_and_U': 5}"
43,"{'U_and_M_to_U_and_U': 20, 'Polymerase_M_to_A': 11, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 59, 'M_and_U_to_M_and_M': 6, 'A_and_U_to_A_and_A': 42}"
44,"{'U_and_M_to_U_and_U': 45, 'M_and_U_to_M_and_M': 39, 'Polymerase_M_to_A': 33, 'U_and_A_to_U_and_U': 54, 'M_and_A_to_M_and_M': 22, 'A_and_M_to_A_and_A': 12, 'A_and_U_to_A_and_A': 52}"
45,"{'Polymerase_M_to_A': 35, 'U_and_M_to_U_and_U': 45, 'M_and_U_to_M_and_M': 50, 'U_and_A_to_U_and_U': 57, 'A_and_M_to_A_and_A': 14, 'M_and_A_to_M_and_M': 23, 'A_and_U_to_A_and_A': 45}"
46,"{'M_and_U_to_M_and_M': 42, 'U_and_M_to_U_and_U': 30, 'Polymerase_M_to_A': 32, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 49, 'M_and_A_to_M_and_M': 19, 'A_and_U_to_A_and_A': 29}"
47,"{'M_and_U_to_M_and_M': 40, 'Polymerase_M_to_A': 41, 'U_and_M_to_U_and_U': 23, 'A_and_U_to_A_and_A': 19, 'A_and_M_to_A_and_A': 33, 'U_and_A_to_U_and_U': 31, 'M_and_A_to_M_and_M': 50}"
48,"{'M_and_U_to_M_and_M': 25, 'U_and_M_to_U_and_U': 27, 'Polymerase_M_to_A': 44, 'A_and_M_to_A_and_A': 19, 'M_and_A_to_M_and_M': 58, 'A_and_U_to_A_and_A': 29, 'U_and_A_to_U_and_U': 13}"
49,"{'M_and_U_to_M_and_M': 44, 'U_and_M_to_U_and_U': 25, 'Polymerase_M_to_A': 45, 'U_and_A_to_U_and_U': 39, 'A_and_U_to_A_and_A': 27, 'A_and_M_to_A_and_A': 18, 'M_and_A_to_M_and_M': 39}"
50,"{'M_and_U_to_M_and_M': 32, 'Polymerase_M_to_A': 41, 'U_and_A_to_U_and_U': 33, 'U_and_M_to_U_and_U': 31, 'A_and_M_to_A_and_A': 19, 'A_and_U_to_A_and_A': 34, 'M_and_A_to_M_and_M': 43}"
51,"{'U_and_M_to_U_and_U': 33, 'M_and_U_to_M_and_M': 37, 'Polymerase_M_to_A': 31, 'A_and_M_to_A_and_A': 22, 'A_and_U_to_A_and_A': 22, 'U_and_A_to_U_and_U': 31, 'M_and_A_to_M_and_M': 28}"
52,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 19, 'Polymerase_M_to_A': 50, 'A_and_U_to_A_and_A': 19, 'M_and_A_to_M_and_M': 56, 'U_and_A_to_U_and_U': 25, 'A_and_M_to_A_and_A': 32}"
53,"{'U_and_M_to_U_and_U': 29, 'M_and_U_to_M_and_M': 19, 'Polymerase_M_to_A': 21, 'U_and_A_to_U_and_U': 44, 'A_and_M_to_A_and_A': 9, 'A_and_U_to_A_and_A': 25, 'M_and_A_to_M_and_M': 6}"
54,"{'U_and_M_to_U_and_U': 37, 'M_and_U_to_M_and_M': 44, 'Polymerase_M_to_A': 39, 'M_and_A_to_M_and_M': 32, 'A_and_M_to_A_and_A': 15, 'U_and_A_to_U_and_U': 35, 'A_and_U_to_A_and_A': 26}"
