Simulation,Transitions
616,"{'M_and_U_to_M_and_M': 19, 'Polymerase_M_to_A': 55, 'U_and_A_to_U_and_U': 4, 'U_and_M_to_U_and_U': 7, 'M_and_A_to_M_and_M': 74, 'A_and_M_to_A_and_A': 47, 'A_and_U_to_A_and_A': 6}"
617,"{'M_and_U_to_M_and_M': 19, 'U_and_M_to_U_and_U': 7, 'Polymerase_M_to_A': 58, 'A_and_M_to_A_and_A': 22, 'M_and_A_to_M_and_M': 65, 'U_and_A_to_U_and_U': 2, 'A_and_U_to_A_and_A': 5}"
618,"{'M_and_U_to_M_and_M': 14, 'U_and_M_to_U_and_U': 9, 'Polymerase_M_to_A': 49, 'A_and_M_to_A_and_A': 29, 'M_and_A_to_M_and_M': 67, 'A_and_U_to_A_and_A': 9}"
619,"{'M_and_U_to_M_and_M': 41, 'U_and_M_to_U_and_U': 40, 'Polymerase_M_to_A': 28, 'M_and_A_to_M_and_M': 10, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 34, 'A_and_U_to_A_and_A': 8}"
620,"{'M_and_U_to_M_and_M': 23, 'U_and_M_to_U_and_U': 29, 'Polymerase_M_to_A': 39, 'A_and_M_to_A_and_A': 24, 'A_and_U_to_A_and_A': 33, 'M_and_A_to_M_and_M': 40, 'U_and_A_to_U_and_U': 49}"
621,"{'U_and_M_to_U_and_U': 54, 'M_and_U_to_M_and_M': 49, 'Polymerase_M_to_A': 32, 'U_and_A_to_U_and_U': 43, 'A_and_M_to_A_and_A': 7, 'A_and_U_to_A_and_A': 26, 'M_and_A_to_M_and_M': 14}"
622,"{'M_and_U_to_M_and_M': 21, 'U_and_M_to_U_and_U': 4, 'Polymerase_M_to_A': 60, 'M_and_A_to_M_and_M': 67, 'A_and_M_to_A_and_A': 26, 'U_and_A_to_U_and_U': 6, 'A_and_U_to_A_and_A': 4}"
623,"{'M_and_U_to_M_and_M': 45, 'U_and_M_to_U_and_U': 53, 'Polymerase_M_to_A': 17, 'A_and_M_to_A_and_A': 4, 'A_and_U_to_A_and_A': 23, 'M_and_A_to_M_and_M': 3, 'U_and_A_to_U_and_U': 35}"
624,"{'U_and_M_to_U_and_U': 11, 'M_and_U_to_M_and_M': 21, 'Polymerase_M_to_A': 61, 'A_and_M_to_A_and_A': 31, 'U_and_A_to_U_and_U': 4, 'M_and_A_to_M_and_M': 74, 'A_and_U_to_A_and_A': 9}"
625,"{'U_and_M_to_U_and_U': 42, 'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 21, 'A_and_M_to_A_and_A': 11, 'A_and_U_to_A_and_A': 27, 'U_and_A_to_U_and_U': 46, 'M_and_A_to_M_and_M': 12}"
626,"{'M_and_U_to_M_and_M': 37, 'U_and_M_to_U_and_U': 32, 'Polymerase_M_to_A': 39, 'A_and_M_to_A_and_A': 25, 'M_and_A_to_M_and_M': 45, 'A_and_U_to_A_and_A': 26, 'U_and_A_to_U_and_U': 33}"
627,"{'M_and_U_to_M_and_M': 39, 'U_and_M_to_U_and_U': 54, 'Polymerase_M_to_A': 21, 'U_and_A_to_U_and_U': 36, 'A_and_M_to_A_and_A': 5, 'A_and_U_to_A_and_A': 35, 'M_and_A_to_M_and_M': 11}"
628,"{'U_and_M_to_U_and_U': 17, 'M_and_U_to_M_and_M': 24, 'Polymerase_M_to_A': 34, 'A_and_M_to_A_and_A': 38, 'A_and_U_to_A_and_A': 15, 'M_and_A_to_M_and_M': 56, 'U_and_A_to_U_and_U': 12}"
629,"{'U_and_M_to_U_and_U': 25, 'Polymerase_M_to_A': 55, 'A_and_M_to_A_and_A': 12, 'M_and_U_to_M_and_M': 36, 'M_and_A_to_M_and_M': 45, 'A_and_U_to_A_and_A': 25, 'U_and_A_to_U_and_U': 31}"
630,"{'M_and_U_to_M_and_M': 30, 'U_and_M_to_U_and_U': 19, 'Polymerase_M_to_A': 46, 'U_and_A_to_U_and_U': 21, 'A_and_M_to_A_and_A': 16, 'M_and_A_to_M_and_M': 40, 'A_and_U_to_A_and_A': 22}"
631,"{'U_and_M_to_U_and_U': 12, 'M_and_U_to_M_and_M': 30, 'Polymerase_M_to_A': 59, 'A_and_M_to_A_and_A': 16, 'M_and_A_to_M_and_M': 43, 'U_and_A_to_U_and_U': 26, 'A_and_U_to_A_and_A': 19}"
632,"{'M_and_U_to_M_and_M': 36, 'U_and_M_to_U_and_U': 27, 'Polymerase_M_to_A': 39, 'A_and_M_to_A_and_A': 18, 'A_and_U_to_A_and_A': 44, 'M_and_A_to_M_and_M': 41, 'U_and_A_to_U_and_U': 43}"
633,"{'U_and_M_to_U_and_U': 50, 'M_and_U_to_M_and_M': 44, 'Polymerase_M_to_A': 20, 'U_and_A_to_U_and_U': 34, 'A_and_U_to_A_and_A': 24, 'A_and_M_to_A_and_A': 6, 'M_and_A_to_M_and_M': 7}"
634,"{'U_and_M_to_U_and_U': 42, 'Polymerase_M_to_A': 27, 'M_and_U_to_M_and_M': 44, 'A_and_M_to_A_and_A': 6, 'U_and_A_to_U_and_U': 50, 'A_and_U_to_A_and_A': 33, 'M_and_A_to_M_and_M': 14}"
635,"{'M_and_U_to_M_and_M': 31, 'U_and_M_to_U_and_U': 20, 'Polymerase_M_to_A': 28, 'U_and_A_to_U_and_U': 47, 'A_and_M_to_A_and_A': 19, 'M_and_A_to_M_and_M': 26, 'A_and_U_to_A_and_A': 38}"
636,"{'M_and_U_to_M_and_M': 40, 'U_and_M_to_U_and_U': 28, 'Polymerase_M_to_A': 44, 'M_and_A_to_M_and_M': 41, 'A_and_U_to_A_and_A': 37, 'A_and_M_to_A_and_A': 14, 'U_and_A_to_U_and_U': 37}"
637,"{'U_and_M_to_U_and_U': 32, 'M_and_U_to_M_and_M': 49, 'Polymerase_M_to_A': 44, 'A_and_M_to_A_and_A': 17, 'M_and_A_to_M_and_M': 31, 'U_and_A_to_U_and_U': 32, 'A_and_U_to_A_and_A': 23}"
638,"{'U_and_M_to_U_and_U': 22, 'M_and_U_to_M_and_M': 7, 'Polymerase_M_to_A': 15, 'A_and_M_to_A_and_A': 6, 'M_and_A_to_M_and_M': 2, 'U_and_A_to_U_and_U': 52, 'A_and_U_to_A_and_A': 36}"
639,"{'U_and_M_to_U_and_U': 25, 'Polymerase_M_to_A': 48, 'M_and_U_to_M_and_M': 40, 'U_and_A_to_U_and_U': 33, 'A_and_M_to_A_and_A': 14, 'A_and_U_to_A_and_A': 29, 'M_and_A_to_M_and_M': 44}"
640,"{'M_and_U_to_M_and_M': 39, 'U_and_M_to_U_and_U': 52, 'Polymerase_M_to_A': 22, 'A_and_U_to_A_and_A': 34, 'A_and_M_to_A_and_A': 5, 'M_and_A_to_M_and_M': 14, 'U_and_A_to_U_and_U': 33}"
641,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 24, 'Polymerase_M_to_A': 45, 'U_and_A_to_U_and_U': 19, 'M_and_A_to_M_and_M': 56, 'A_and_M_to_A_and_A': 28, 'A_and_U_to_A_and_A': 18}"
642,"{'U_and_M_to_U_and_U': 37, 'M_and_U_to_M_and_M': 34, 'Polymerase_M_to_A': 40, 'A_and_M_to_A_and_A': 18, 'A_and_U_to_A_and_A': 24, 'M_and_A_to_M_and_M': 44, 'U_and_A_to_U_and_U': 21}"
643,"{'M_and_U_to_M_and_M': 40, 'Polymerase_M_to_A': 52, 'U_and_M_to_U_and_U': 21, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 25, 'M_and_A_to_M_and_M': 49, 'A_and_U_to_A_and_A': 16}"
644,"{'U_and_M_to_U_and_U': 17, 'M_and_U_to_M_and_M': 31, 'Polymerase_M_to_A': 52, 'A_and_U_to_A_and_A': 18, 'M_and_A_to_M_and_M': 58, 'U_and_A_to_U_and_U': 19, 'A_and_M_to_A_and_A': 27}"
645,"{'U_and_M_to_U_and_U': 11, 'Polymerase_M_to_A': 57, 'M_and_U_to_M_and_M': 18, 'A_and_M_to_A_and_A': 41, 'A_and_U_to_A_and_A': 12, 'M_and_A_to_M_and_M': 90, 'U_and_A_to_U_and_U': 5}"
646,"{'M_and_U_to_M_and_M': 48, 'U_and_M_to_U_and_U': 32, 'Polymerase_M_to_A': 27, 'A_and_M_to_A_and_A': 14, 'M_and_A_to_M_and_M': 14, 'A_and_U_to_A_and_A': 31, 'U_and_A_to_U_and_U': 49}"
647,"{'M_and_U_to_M_and_M': 19, 'U_and_M_to_U_and_U': 14, 'Polymerase_M_to_A': 50, 'U_and_A_to_U_and_U': 12, 'M_and_A_to_M_and_M': 63, 'A_and_M_to_A_and_A': 29, 'A_and_U_to_A_and_A': 19}"
648,"{'M_and_U_to_M_and_M': 24, 'Polymerase_M_to_A': 31, 'U_and_M_to_U_and_U': 34, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 21, 'A_and_U_to_A_and_A': 41, 'M_and_A_to_M_and_M': 54}"
649,"{'M_and_U_to_M_and_M': 37, 'U_and_M_to_U_and_U': 31, 'Polymerase_M_to_A': 29, 'M_and_A_to_M_and_M': 13, 'A_and_M_to_A_and_A': 13, 'U_and_A_to_U_and_U': 54, 'A_and_U_to_A_and_A': 44}"
650,"{'M_and_U_to_M_and_M': 43, 'U_and_M_to_U_and_U': 45, 'Polymerase_M_to_A': 28, 'A_and_U_to_A_and_A': 38, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 49, 'M_and_A_to_M_and_M': 13}"
651,"{'Polymerase_M_to_A': 52, 'M_and_U_to_M_and_M': 35, 'U_and_M_to_U_and_U': 27, 'A_and_M_to_A_and_A': 18, 'U_and_A_to_U_and_U': 40, 'M_and_A_to_M_and_M': 43, 'A_and_U_to_A_and_A': 28}"
652,"{'M_and_U_to_M_and_M': 31, 'U_and_M_to_U_and_U': 37, 'Polymerase_M_to_A': 24, 'M_and_A_to_M_and_M': 11, 'A_and_U_to_A_and_A': 36, 'A_and_M_to_A_and_A': 11, 'U_and_A_to_U_and_U': 57}"
653,"{'U_and_M_to_U_and_U': 29, 'Polymerase_M_to_A': 45, 'M_and_U_to_M_and_M': 41, 'M_and_A_to_M_and_M': 55, 'A_and_U_to_A_and_A': 28, 'U_and_A_to_U_and_U': 26, 'A_and_M_to_A_and_A': 27}"
654,"{'U_and_M_to_U_and_U': 22, 'M_and_U_to_M_and_M': 30, 'Polymerase_M_to_A': 37, 'A_and_U_to_A_and_A': 24, 'A_and_M_to_A_and_A': 29, 'M_and_A_to_M_and_M': 52, 'U_and_A_to_U_and_U': 19}"
655,"{'U_and_M_to_U_and_U': 47, 'Polymerase_M_to_A': 34, 'M_and_U_to_M_and_M': 37, 'A_and_U_to_A_and_A': 35, 'A_and_M_to_A_and_A': 11, 'U_and_A_to_U_and_U': 44, 'M_and_A_to_M_and_M': 27}"
656,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 21, 'Polymerase_M_to_A': 35, 'U_and_A_to_U_and_U': 20, 'A_and_M_to_A_and_A': 26, 'A_and_U_to_A_and_A': 24, 'M_and_A_to_M_and_M': 37}"
657,"{'M_and_U_to_M_and_M': 30, 'U_and_M_to_U_and_U': 37, 'Polymerase_M_to_A': 34, 'M_and_A_to_M_and_M': 26, 'U_and_A_to_U_and_U': 36, 'A_and_U_to_A_and_A': 32, 'A_and_M_to_A_and_A': 14}"
658,"{'M_and_U_to_M_and_M': 41, 'Polymerase_M_to_A': 55, 'A_and_M_to_A_and_A': 22, 'U_and_M_to_U_and_U': 25, 'U_and_A_to_U_and_U': 28, 'A_and_U_to_A_and_A': 27, 'M_and_A_to_M_and_M': 52}"
659,"{'U_and_M_to_U_and_U': 36, 'M_and_U_to_M_and_M': 31, 'Polymerase_M_to_A': 27, 'A_and_M_to_A_and_A': 18, 'U_and_A_to_U_and_U': 49, 'M_and_A_to_M_and_M': 22, 'A_and_U_to_A_and_A': 36}"
660,"{'U_and_M_to_U_and_U': 28, 'M_and_U_to_M_and_M': 33, 'Polymerase_M_to_A': 51, 'U_and_A_to_U_and_U': 12, 'A_and_M_to_A_and_A': 24, 'A_and_U_to_A_and_A': 19, 'M_and_A_to_M_and_M': 57}"
661,"{'U_and_M_to_U_and_U': 25, 'Polymerase_M_to_A': 45, 'M_and_U_to_M_and_M': 24, 'U_and_A_to_U_and_U': 18, 'A_and_M_to_A_and_A': 21, 'A_and_U_to_A_and_A': 31, 'M_and_A_to_M_and_M': 58}"
662,"{'M_and_U_to_M_and_M': 42, 'U_and_M_to_U_and_U': 46, 'Polymerase_M_to_A': 36, 'A_and_M_to_A_and_A': 15, 'A_and_U_to_A_and_A': 34, 'U_and_A_to_U_and_U': 36, 'M_and_A_to_M_and_M': 32}"
663,"{'M_and_U_to_M_and_M': 28, 'U_and_M_to_U_and_U': 18, 'Polymerase_M_to_A': 48, 'A_and_U_to_A_and_A': 13, 'M_and_A_to_M_and_M': 65, 'A_and_M_to_A_and_A': 25, 'U_and_A_to_U_and_U': 12}"
664,"{'Polymerase_M_to_A': 27, 'U_and_M_to_U_and_U': 23, 'M_and_U_to_M_and_M': 31, 'U_and_A_to_U_and_U': 57, 'A_and_U_to_A_and_A': 41, 'A_and_M_to_A_and_A': 14, 'M_and_A_to_M_and_M': 13}"
665,"{'U_and_M_to_U_and_U': 13, 'Polymerase_M_to_A': 44, 'M_and_U_to_M_and_M': 32, 'A_and_M_to_A_and_A': 23, 'A_and_U_to_A_and_A': 27, 'M_and_A_to_M_and_M': 39, 'U_and_A_to_U_and_U': 35}"
666,"{'U_and_M_to_U_and_U': 34, 'M_and_U_to_M_and_M': 25, 'Polymerase_M_to_A': 18, 'A_and_M_to_A_and_A': 9, 'A_and_U_to_A_and_A': 28, 'U_and_A_to_U_and_U': 46, 'M_and_A_to_M_and_M': 4}"
667,"{'Polymerase_M_to_A': 41, 'U_and_A_to_U_and_U': 1, 'M_and_U_to_M_and_M': 16, 'U_and_M_to_U_and_U': 10, 'A_and_M_to_A_and_A': 46, 'A_and_U_to_A_and_A': 9, 'M_and_A_to_M_and_M': 70}"
668,"{'U_and_M_to_U_and_U': 32, 'M_and_U_to_M_and_M': 47, 'Polymerase_M_to_A': 45, 'A_and_M_to_A_and_A': 18, 'M_and_A_to_M_and_M': 33, 'A_and_U_to_A_and_A': 26, 'U_and_A_to_U_and_U': 40}"
669,"{'M_and_U_to_M_and_M': 31, 'U_and_M_to_U_and_U': 26, 'Polymerase_M_to_A': 40, 'M_and_A_to_M_and_M': 45, 'A_and_M_to_A_and_A': 26, 'U_and_A_to_U_and_U': 20, 'A_and_U_to_A_and_A': 21}"
670,"{'Polymerase_M_to_A': 44, 'U_and_M_to_U_and_U': 22, 'M_and_A_to_M_and_M': 41, 'M_and_U_to_M_and_M': 23, 'A_and_M_to_A_and_A': 17, 'A_and_U_to_A_and_A': 34, 'U_and_A_to_U_and_U': 39}"
671,"{'M_and_U_to_M_and_M': 26, 'U_and_M_to_U_and_U': 12, 'Polymerase_M_to_A': 54, 'A_and_U_to_A_and_A': 2, 'M_and_A_to_M_and_M': 55, 'A_and_M_to_A_and_A': 31, 'U_and_A_to_U_and_U': 1}"
672,"{'M_and_U_to_M_and_M': 30, 'U_and_M_to_U_and_U': 12, 'Polymerase_M_to_A': 51, 'M_and_A_to_M_and_M': 47, 'A_and_M_to_A_and_A': 28, 'U_and_A_to_U_and_U': 28, 'A_and_U_to_A_and_A': 20}"
673,"{'M_and_U_to_M_and_M': 47, 'U_and_M_to_U_and_U': 41, 'Polymerase_M_to_A': 39, 'A_and_M_to_A_and_A': 13, 'U_and_A_to_U_and_U': 28, 'A_and_U_to_A_and_A': 28, 'M_and_A_to_M_and_M': 38}"
674,"{'M_and_U_to_M_and_M': 33, 'U_and_M_to_U_and_U': 31, 'Polymerase_M_to_A': 42, 'A_and_U_to_A_and_A': 32, 'U_and_A_to_U_and_U': 31, 'A_and_M_to_A_and_A': 19, 'M_and_A_to_M_and_M': 47}"
675,"{'M_and_U_to_M_and_M': 24, 'U_and_M_to_U_and_U': 6, 'Polymerase_M_to_A': 54, 'U_and_A_to_U_and_U': 12, 'A_and_M_to_A_and_A': 44, 'M_and_A_to_M_and_M': 66, 'A_and_U_to_A_and_A': 9}"
676,"{'Polymerase_M_to_A': 68, 'A_and_U_to_A_and_A': 21, 'U_and_M_to_U_and_U': 17, 'M_and_U_to_M_and_M': 28, 'M_and_A_to_M_and_M': 74, 'A_and_M_to_A_and_A': 20, 'U_and_A_to_U_and_U': 20}"
677,"{'M_and_U_to_M_and_M': 39, 'U_and_M_to_U_and_U': 31, 'Polymerase_M_to_A': 34, 'A_and_M_to_A_and_A': 25, 'U_and_A_to_U_and_U': 37, 'A_and_U_to_A_and_A': 30, 'M_and_A_to_M_and_M': 33}"
678,"{'M_and_U_to_M_and_M': 29, 'U_and_M_to_U_and_U': 23, 'Polymerase_M_to_A': 48, 'A_and_U_to_A_and_A': 34, 'U_and_A_to_U_and_U': 32, 'A_and_M_to_A_and_A': 18, 'M_and_A_to_M_and_M': 39}"
679,"{'U_and_M_to_U_and_U': 42, 'M_and_U_to_M_and_M': 54, 'Polymerase_M_to_A': 39, 'A_and_U_to_A_and_A': 39, 'M_and_A_to_M_and_M': 17, 'A_and_M_to_A_and_A': 4, 'U_and_A_to_U_and_U': 57}"
680,"{'Polymerase_M_to_A': 50, 'A_and_M_to_A_and_A': 14, 'M_and_U_to_M_and_M': 42, 'U_and_M_to_U_and_U': 32, 'U_and_A_to_U_and_U': 54, 'M_and_A_to_M_and_M': 33, 'A_and_U_to_A_and_A': 28}"
681,"{'M_and_U_to_M_and_M': 33, 'U_and_M_to_U_and_U': 22, 'Polymerase_M_to_A': 47, 'A_and_U_to_A_and_A': 17, 'A_and_M_to_A_and_A': 32, 'M_and_A_to_M_and_M': 54, 'U_and_A_to_U_and_U': 25}"
682,"{'U_and_M_to_U_and_U': 20, 'M_and_U_to_M_and_M': 25, 'Polymerase_M_to_A': 55, 'A_and_M_to_A_and_A': 17, 'A_and_U_to_A_and_A': 22, 'M_and_A_to_M_and_M': 64, 'U_and_A_to_U_and_U': 13}"
683,"{'U_and_M_to_U_and_U': 26, 'M_and_U_to_M_and_M': 40, 'Polymerase_M_to_A': 50, 'A_and_M_to_A_and_A': 37, 'M_and_A_to_M_and_M': 62, 'U_and_A_to_U_and_U': 17, 'A_and_U_to_A_and_A': 14}"
684,"{'M_and_U_to_M_and_M': 28, 'U_and_M_to_U_and_U': 20, 'Polymerase_M_to_A': 51, 'A_and_M_to_A_and_A': 22, 'U_and_A_to_U_and_U': 13, 'M_and_A_to_M_and_M': 58, 'A_and_U_to_A_and_A': 20}"
685,"{'U_and_M_to_U_and_U': 31, 'M_and_U_to_M_and_M': 41, 'Polymerase_M_to_A': 44, 'U_and_A_to_U_and_U': 34, 'A_and_M_to_A_and_A': 16, 'M_and_A_to_M_and_M': 45, 'A_and_U_to_A_and_A': 34}"
686,"{'U_and_M_to_U_and_U': 39, 'M_and_U_to_M_and_M': 41, 'Polymerase_M_to_A': 32, 'A_and_U_to_A_and_A': 29, 'A_and_M_to_A_and_A': 14, 'M_and_A_to_M_and_M': 17, 'U_and_A_to_U_and_U': 41}"
687,"{'M_and_U_to_M_and_M': 49, 'U_and_M_to_U_and_U': 48, 'Polymerase_M_to_A': 21, 'A_and_M_to_A_and_A': 4, 'U_and_A_to_U_and_U': 38, 'A_and_U_to_A_and_A': 31, 'M_and_A_to_M_and_M': 14}"
688,"{'U_and_M_to_U_and_U': 32, 'M_and_U_to_M_and_M': 45, 'Polymerase_M_to_A': 46, 'M_and_A_to_M_and_M': 40, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 41, 'A_and_U_to_A_and_A': 37}"
689,"{'M_and_U_to_M_and_M': 30, 'U_and_M_to_U_and_U': 22, 'Polymerase_M_to_A': 33, 'A_and_M_to_A_and_A': 32, 'A_and_U_to_A_and_A': 29, 'U_and_A_to_U_and_U': 31, 'M_and_A_to_M_and_M': 42}"
690,"{'M_and_U_to_M_and_M': 34, 'U_and_M_to_U_and_U': 15, 'Polymerase_M_to_A': 48, 'A_and_M_to_A_and_A': 21, 'M_and_A_to_M_and_M': 44, 'A_and_U_to_A_and_A': 22, 'U_and_A_to_U_and_U': 26}"
691,"{'U_and_M_to_U_and_U': 14, 'M_and_U_to_M_and_M': 16, 'Polymerase_M_to_A': 51, 'A_and_U_to_A_and_A': 16, 'M_and_A_to_M_and_M': 53, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 3}"
692,"{'M_and_U_to_M_and_M': 42, 'U_and_M_to_U_and_U': 31, 'Polymerase_M_to_A': 35, 'A_and_M_to_A_and_A': 25, 'M_and_A_to_M_and_M': 37, 'A_and_U_to_A_and_A': 29, 'U_and_A_to_U_and_U': 30}"
693,"{'U_and_M_to_U_and_U': 36, 'M_and_U_to_M_and_M': 47, 'Polymerase_M_to_A': 53, 'A_and_U_to_A_and_A': 27, 'M_and_A_to_M_and_M': 44, 'U_and_A_to_U_and_U': 35, 'A_and_M_to_A_and_A': 19}"
694,"{'U_and_M_to_U_and_U': 41, 'M_and_U_to_M_and_M': 38, 'Polymerase_M_to_A': 32, 'A_and_U_to_A_and_A': 28, 'A_and_M_to_A_and_A': 25, 'M_and_A_to_M_and_M': 42, 'U_and_A_to_U_and_U': 23}"
695,"{'M_and_U_to_M_and_M': 32, 'U_and_M_to_U_and_U': 22, 'Polymerase_M_to_A': 50, 'A_and_U_to_A_and_A': 24, 'U_and_A_to_U_and_U': 23, 'A_and_M_to_A_and_A': 20, 'M_and_A_to_M_and_M': 46}"
696,"{'M_and_U_to_M_and_M': 23, 'U_and_M_to_U_and_U': 15, 'Polymerase_M_to_A': 43, 'A_and_U_to_A_and_A': 22, 'A_and_M_to_A_and_A': 27, 'M_and_A_to_M_and_M': 58, 'U_and_A_to_U_and_U': 15}"
697,"{'M_and_U_to_M_and_M': 31, 'U_and_M_to_U_and_U': 37, 'Polymerase_M_to_A': 29, 'M_and_A_to_M_and_M': 20, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 44, 'A_and_U_to_A_and_A': 39}"
698,"{'U_and_M_to_U_and_U': 35, 'M_and_U_to_M_and_M': 31, 'Polymerase_M_to_A': 33, 'A_and_M_to_A_and_A': 12, 'M_and_A_to_M_and_M': 21, 'U_and_A_to_U_and_U': 45, 'A_and_U_to_A_and_A': 44}"
699,"{'M_and_U_to_M_and_M': 14, 'U_and_M_to_U_and_U': 9, 'Polymerase_M_to_A': 51, 'M_and_A_to_M_and_M': 72, 'A_and_U_to_A_and_A': 18, 'A_and_M_to_A_and_A': 30, 'U_and_A_to_U_and_U': 9}"
700,"{'M_and_U_to_M_and_M': 41, 'U_and_M_to_U_and_U': 30, 'Polymerase_M_to_A': 35, 'A_and_M_to_A_and_A': 20, 'M_and_A_to_M_and_M': 40, 'U_and_A_to_U_and_U': 16, 'A_and_U_to_A_and_A': 16}"
701,"{'M_and_U_to_M_and_M': 41, 'Polymerase_M_to_A': 33, 'U_and_M_to_U_and_U': 39, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 51, 'M_and_A_to_M_and_M': 31, 'A_and_U_to_A_and_A': 53}"
702,"{'M_and_U_to_M_and_M': 30, 'U_and_M_to_U_and_U': 24, 'Polymerase_M_to_A': 44, 'U_and_A_to_U_and_U': 9, 'A_and_U_to_A_and_A': 18, 'A_and_M_to_A_and_A': 20, 'M_and_A_to_M_and_M': 49}"
703,"{'U_and_M_to_U_and_U': 19, 'Polymerase_M_to_A': 54, 'M_and_A_to_M_and_M': 64, 'M_and_U_to_M_and_M': 29, 'U_and_A_to_U_and_U': 14, 'A_and_U_to_A_and_A': 19, 'A_and_M_to_A_and_A': 25}"
704,"{'U_and_M_to_U_and_U': 20, 'M_and_U_to_M_and_M': 32, 'Polymerase_M_to_A': 56, 'A_and_M_to_A_and_A': 21, 'M_and_A_to_M_and_M': 57, 'U_and_A_to_U_and_U': 11, 'A_and_U_to_A_and_A': 13}"
705,"{'M_and_U_to_M_and_M': 15, 'U_and_M_to_U_and_U': 21, 'Polymerase_M_to_A': 44, 'A_and_U_to_A_and_A': 30, 'A_and_M_to_A_and_A': 27, 'M_and_A_to_M_and_M': 66, 'U_and_A_to_U_and_U': 9}"
706,"{'U_and_M_to_U_and_U': 35, 'M_and_U_to_M_and_M': 42, 'Polymerase_M_to_A': 32, 'M_and_A_to_M_and_M': 37, 'A_and_U_to_A_and_A': 34, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 34}"
707,"{'M_and_U_to_M_and_M': 17, 'U_and_M_to_U_and_U': 24, 'Polymerase_M_to_A': 41, 'A_and_U_to_A_and_A': 28, 'A_and_M_to_A_and_A': 17, 'M_and_A_to_M_and_M': 33, 'U_and_A_to_U_and_U': 27}"
708,"{'U_and_M_to_U_and_U': 42, 'M_and_U_to_M_and_M': 55, 'Polymerase_M_to_A': 35, 'A_and_M_to_A_and_A': 9, 'U_and_A_to_U_and_U': 49, 'M_and_A_to_M_and_M': 18, 'A_and_U_to_A_and_A': 34}"
709,"{'M_and_U_to_M_and_M': 41, 'Polymerase_M_to_A': 32, 'U_and_M_to_U_and_U': 31, 'A_and_M_to_A_and_A': 16, 'A_and_U_to_A_and_A': 34, 'M_and_A_to_M_and_M': 15, 'U_and_A_to_U_and_U': 55}"
710,"{'M_and_U_to_M_and_M': 16, 'Polymerase_M_to_A': 59, 'U_and_M_to_U_and_U': 8, 'A_and_M_to_A_and_A': 32, 'M_and_A_to_M_and_M': 73, 'A_and_U_to_A_and_A': 14, 'U_and_A_to_U_and_U': 7}"
711,"{'M_and_U_to_M_and_M': 39, 'Polymerase_M_to_A': 27, 'U_and_M_to_U_and_U': 25, 'A_and_M_to_A_and_A': 13, 'U_and_A_to_U_and_U': 57, 'A_and_U_to_A_and_A': 43, 'M_and_A_to_M_and_M': 14}"
712,"{'U_and_M_to_U_and_U': 7, 'Polymerase_M_to_A': 44, 'M_and_U_to_M_and_M': 16, 'A_and_M_to_A_and_A': 38, 'A_and_U_to_A_and_A': 28, 'M_and_A_to_M_and_M': 59, 'U_and_A_to_U_and_U': 22}"
713,"{'M_and_U_to_M_and_M': 44, 'Polymerase_M_to_A': 31, 'U_and_M_to_U_and_U': 26, 'M_and_A_to_M_and_M': 26, 'A_and_M_to_A_and_A': 28, 'A_and_U_to_A_and_A': 33, 'U_and_A_to_U_and_U': 49}"
714,"{'U_and_M_to_U_and_U': 61, 'M_and_U_to_M_and_M': 45, 'Polymerase_M_to_A': 22, 'A_and_U_to_A_and_A': 23, 'M_and_A_to_M_and_M': 12, 'U_and_A_to_U_and_U': 38, 'A_and_M_to_A_and_A': 7}"
715,"{'U_and_M_to_U_and_U': 16, 'M_and_U_to_M_and_M': 26, 'Polymerase_M_to_A': 54, 'A_and_M_to_A_and_A': 28, 'U_and_A_to_U_and_U': 11, 'M_and_A_to_M_and_M': 74, 'A_and_U_to_A_and_A': 16}"
716,"{'M_and_U_to_M_and_M': 35, 'Polymerase_M_to_A': 31, 'U_and_M_to_U_and_U': 46, 'U_and_A_to_U_and_U': 44, 'A_and_U_to_A_and_A': 34, 'A_and_M_to_A_and_A': 14, 'M_and_A_to_M_and_M': 26}"
717,"{'U_and_M_to_U_and_U': 17, 'M_and_U_to_M_and_M': 23, 'Polymerase_M_to_A': 63, 'M_and_A_to_M_and_M': 67, 'A_and_M_to_A_and_A': 22, 'A_and_U_to_A_and_A': 11, 'U_and_A_to_U_and_U': 2}"
718,"{'M_and_U_to_M_and_M': 31, 'U_and_M_to_U_and_U': 16, 'Polymerase_M_to_A': 45, 'U_and_A_to_U_and_U': 19, 'A_and_U_to_A_and_A': 18, 'A_and_M_to_A_and_A': 26, 'M_and_A_to_M_and_M': 54}"
