Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
18401,0,51,50,1,9,0,0
18501,0,52,51,1,8,0,0
18601,0,52,51,1,8,0,0
18701,0,52,51,1,8,0,0
18801,0,54,52,2,6,0,0
18901,0,51,49,2,9,0,0
19001,0,49,48,1,11,0,0
19101,0,51,50,1,9,0,0
19201,0,52,51,1,8,0,0
19301,0,53,53,0,7,0,0
19401,0,54,54,0,6,0,0
19501,0,57,57,0,3,0,0
19601,0,54,54,0,6,0,0
19701,0,53,53,0,7,0,0
19801,0,51,51,0,9,0,0
19901,0,50,50,0,10,0,0
20001,0,49,49,0,11,0,0
20101,0,50,49,1,10,1,0
20201,0,49,48,1,11,0,0
20301,0,51,50,1,9,0,0
20401,0,51,48,3,9,0,0
20501,0,49,47,2,11,0,0
20601,0,47,44,3,13,0,0
20701,0,49,46,3,11,0,0
20801,0,50,47,3,10,0,0
20901,0,50,47,3,10,0,0
21001,0,46,41,5,14,0,0
21101,0,49,44,5,11,0,0
21201,0,46,38,8,14,0,0
21301,0,42,36,6,18,0,0
21401,0,39,33,6,21,0,0
21501,0,39,30,9,21,1,0
21601,0,38,25,13,22,0,0
21701,0,39,29,10,21,0,0
21801,0,42,33,9,18,0,0
21901,0,41,34,7,19,0,0
22001,0,37,31,6,23,0,0
22101,0,41,32,9,19,0,0
22201,0,41,32,9,19,1,0
22301,0,40,33,7,20,0,0
22401,0,41,34,7,19,0,0
22501,0,39,30,9,21,0,1
22601,0,39,30,9,21,0,0
22701,0,37,26,11,23,0,0
22801,0,36,24,12,24,1,0
22901,0,33,20,13,27,0,0
23001,0,32,19,13,28,0,0
23101,0,34,17,17,26,0,1
23201,0,40,23,17,20,0,0
23301,0,35,23,12,25,0,0
23401,0,36,25,11,24,0,0
23501,0,34,21,13,26,0,0
23601,0,29,17,12,31,0,0
23701,0,32,17,15,28,0,1
23801,0,38,16,22,22,0,0
23901,0,42,18,24,18,0,1
24001,0,37,18,19,23,0,0
24101,0,33,20,13,27,0,0
24201,0,34,22,12,26,0,0
24301,0,38,25,13,22,0,0
24401,0,35,25,10,25,0,0
24501,0,35,31,4,25,0,0
