F,Average_M_A_ratio
0.1,0.1516395033003831
0.11513953993264472,0.15297757659601624
0.13257113655901093,0.15125389648665719
0.15264179671752334,0.1476739067724466
0.1757510624854792,0.14790097050525897
0.20235896477251572,0.14529875393747466
0.2329951810515372,0.15496142365979776
0.2682695795279726,0.14953275837664443
0.3088843596477481,0.15290804407321454
0.35564803062231287,0.14418346008915406
0.40949150623804254,0.15774872161649386
0.47148663634573934,0.1578160287203244
0.5428675439323859,0.16637219722007587
0.6250551925273973,0.16332289108009845
0.7196856730011519,0.1570596501893142
0.8286427728546845,0.17901467478952462
0.9540954763499939,0.17242613096305834
1.0985411419875584,0.18496206802303644
1.2648552168552958,0.17091916370829494
1.4563484775012436,0.16838147956201613
1.6768329368110082,0.1834148485150767
1.9306977288832496,0.2026005140293345
2.2229964825261943,0.21716565520391065
2.5595479226995357,0.2309612346337079
2.9470517025518097,0.23953075485280803
3.393221771895328,0.24444627827226126
3.906939937054617,0.25881353289087444
4.498432668969446,0.26433230186801004
5.17947467923121,0.3055859716293215
5.963623316594643,0.34192249655857654
6.8664884500430015,0.3386413069064045
7.906043210907698,0.43943086584802243
9.102981779915218,0.4350957154175855
10.481131341546853,0.5027881553701689
12.067926406393289,0.529821116120253
13.894954943731374,0.5397055502030262
15.998587196060573,0.6321703073491882
18.420699693267164,0.6414561724257526
21.209508879201906,0.6484495511783297
24.420530945486497,0.5869440971030104
28.11768697974231,0.7731694315083444
32.374575428176435,0.748244191331986
37.27593720314938,0.7367285853630563
42.91934260128778,0.9021571765275723
49.417133613238335,0.8406135922497331
56.89866029018293,0.777436048255072
65.51285568595509,0.8194724628397964
75.43120063354615,0.9240873666806736
86.85113737513521,0.9365755342989459
100.0,0.981241281364947
