Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
18401,0,31,17,14,29,0,0
18501,0,32,17,15,28,0,0
18601,0,29,18,11,31,1,0
18701,0,33,21,12,27,0,0
18801,0,31,20,11,29,0,0
18901,0,36,24,12,24,0,0
19001,0,31,21,10,29,0,0
19101,0,38,27,11,22,0,0
19201,0,39,28,11,21,0,0
19301,0,39,29,10,21,0,0
19401,0,41,30,11,19,0,0
19501,0,44,34,10,16,0,0
19601,0,42,32,10,18,0,0
19701,0,38,24,14,22,0,0
19801,0,36,23,13,24,0,0
19901,0,37,24,13,23,0,0
20001,0,37,23,14,23,0,0
20101,0,34,20,14,26,0,0
20201,0,36,20,16,24,0,0
20301,0,36,15,21,24,0,0
20401,0,38,14,24,22,0,0
20501,0,36,11,25,24,0,1
20601,0,38,6,32,22,1,0
20701,0,44,7,37,16,0,1
20801,0,37,5,32,23,0,1
20901,0,44,8,36,16,0,0
21001,0,39,7,32,21,1,0
21101,0,41,5,36,19,0,1
21201,0,44,4,40,16,0,0
21301,0,43,7,36,17,0,0
21401,0,40,7,33,20,0,0
21501,0,41,9,32,19,0,0
21601,0,36,8,28,24,0,0
21701,0,37,11,26,23,0,0
21801,0,37,13,24,23,0,0
21901,1,33,12,21,27,1,0
22001,0,27,12,15,33,0,0
22101,0,33,17,16,27,0,0
22201,0,36,20,16,24,0,0
22301,0,34,19,15,26,0,0
22401,0,34,20,14,26,0,1
22501,0,38,21,17,22,0,0
22601,0,33,19,14,27,0,0
22701,0,31,23,8,29,0,0
22801,0,38,26,12,22,0,0
22901,0,36,23,13,24,0,0
23001,0,33,21,12,27,0,0
23101,0,32,21,11,28,0,0
23201,0,31,21,10,29,0,0
23301,0,32,24,8,28,0,0
23401,0,35,28,7,25,0,1
23501,0,30,26,4,30,1,0
23601,0,38,35,3,22,0,0
23701,0,32,31,1,28,0,0
23801,0,29,26,3,31,0,0
23901,0,36,26,10,24,0,0
24001,0,33,26,7,27,0,0
24101,0,34,25,9,26,0,0
24201,0,35,28,7,25,0,1
24301,0,41,33,8,19,0,0
