Time Steps,Polymerase Count,Burst Size,Burst Frequency,Poly proba movement,Poly Proba movement,A in gene
1,4,4,0.9500000000000001,,0.0001,5.0
101,4,4,0.9500000000000001,,0.0001,6.0
201,4,4,0.9500000000000001,,0.0001,6.0
301,4,4,0.9500000000000001,,0.0001,7.0
401,4,4,0.9500000000000001,,0.0001,6.0
501,4,4,0.9500000000000001,,0.0001,6.0
601,4,4,0.9500000000000001,,0.0001,6.0
701,4,4,0.9500000000000001,,0.0001,6.0
801,4,4,0.9500000000000001,,0.0001,7.0
901,4,4,0.9500000000000001,,0.0001,6.0
1001,4,4,0.9500000000000001,,0.0001,6.0
1101,4,4,0.9500000000000001,,0.0001,5.0
1201,4,4,0.9500000000000001,,0.0001,6.0
1301,4,4,0.9500000000000001,,0.0001,6.0
1401,4,4,0.9500000000000001,,0.0001,6.0
1501,4,4,0.9500000000000001,,0.0001,5.0
1601,4,4,0.9500000000000001,,0.0001,5.0
1701,4,4,0.9500000000000001,,0.0001,5.0
1801,4,4,0.9500000000000001,,0.0001,6.0
1901,4,4,0.9500000000000001,,0.0001,6.0
2001,4,4,0.9500000000000001,,0.0001,7.0
2101,4,4,0.9500000000000001,,0.0001,5.0
2201,4,4,0.9500000000000001,,0.0001,6.0
2301,4,4,0.9500000000000001,,0.0001,6.0
2401,4,4,0.9500000000000001,,0.0001,6.0
2501,4,4,0.9500000000000001,,0.0001,5.0
2601,4,4,0.9500000000000001,,0.0001,5.0
2701,4,4,0.9500000000000001,,0.0001,5.0
2801,4,4,0.9500000000000001,,0.0001,5.0
2901,4,4,0.9500000000000001,,0.0001,6.0
3001,4,4,0.9500000000000001,,0.0001,6.0
3101,4,4,0.9500000000000001,,0.0001,7.0
3201,4,4,0.9500000000000001,,0.0001,7.0
3301,4,4,0.9500000000000001,,0.0001,7.0
3401,4,4,0.9500000000000001,,0.0001,5.0
3501,4,4,0.9500000000000001,,0.0001,5.0
3601,4,4,0.9500000000000001,,0.0001,5.0
3701,4,4,0.9500000000000001,,0.0001,5.0
3801,4,4,0.9500000000000001,,0.0001,5.0
3901,4,4,0.9500000000000001,,0.0001,5.0
4001,4,4,0.9500000000000001,,0.0001,5.0
4101,4,4,0.9500000000000001,,0.0001,5.0
4201,4,4,0.9500000000000001,,0.0001,5.0
4301,4,4,0.9500000000000001,,0.0001,4.0
4401,4,4,0.9500000000000001,,0.0001,5.0
4501,4,4,0.9500000000000001,,0.0001,5.0
4601,4,4,0.9500000000000001,,0.0001,5.0
4701,4,4,0.9500000000000001,,0.0001,5.0
4801,4,4,0.9500000000000001,,0.0001,5.0
4901,4,4,0.9500000000000001,,0.0001,4.0
