Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
183001,0,44,27,17,16,0,0
184001,0,35,17,18,25,0,0
185001,0,37,17,20,23,0,0
186001,0,36,8,28,24,0,0
187001,0,40,4,36,20,0,1
188001,0,36,7,29,24,0,0
189001,0,37,2,35,23,0,0
190001,0,34,11,23,26,0,0
191001,0,32,8,24,28,0,0
192001,0,35,28,7,25,0,0
193001,0,33,29,4,27,0,0
194001,0,34,21,13,26,0,1
195001,0,38,7,31,22,0,0
196001,0,40,7,33,20,0,0
197001,0,29,12,17,31,0,0
198001,0,36,15,21,24,0,0
199001,0,39,31,8,21,0,0
200001,0,39,22,17,21,0,0
201001,0,35,17,18,25,0,1
202001,0,42,6,36,18,0,0
203001,0,42,7,35,18,0,0
204001,0,32,14,18,28,0,0
205001,0,37,32,5,23,0,0
206001,0,34,33,1,26,0,0
207001,0,33,20,13,27,0,0
208001,0,29,20,9,31,0,0
209001,0,41,32,9,19,0,1
210001,0,45,30,15,15,0,0
211001,0,31,17,14,29,1,0
212001,0,37,24,13,23,0,0
213001,0,38,12,26,22,0,0
214001,0,38,9,29,22,0,0
215001,0,31,8,23,29,0,0
216001,0,40,14,26,20,0,1
217001,0,42,11,31,18,0,0
218001,0,38,22,16,22,1,0
219001,0,46,45,1,14,0,0
220001,0,41,30,11,19,0,0
221001,0,34,21,13,26,0,0
222001,0,37,19,18,23,0,1
223001,0,37,10,27,23,0,0
224001,0,36,1,35,24,0,0
225001,0,39,15,24,21,0,0
226001,0,39,26,13,21,0,0
227001,0,35,17,18,25,0,0
228001,0,36,8,28,24,0,0
229001,0,41,17,24,19,0,0
230001,0,38,24,14,22,0,0
231001,0,39,28,11,21,1,0
232001,0,39,30,9,21,0,0
233001,0,31,11,20,29,0,0
234001,0,37,13,24,23,0,0
235001,0,36,25,11,24,1,0
236001,0,30,20,10,30,0,0
237001,0,27,17,10,33,0,0
238001,0,36,25,11,24,0,0
239001,0,35,19,16,25,0,0
240001,0,30,6,24,30,0,0
241001,0,31,11,20,29,0,0
242001,0,37,20,17,23,0,1
243001,0,46,33,13,14,0,0
244001,0,37,25,12,23,0,0
245001,0,38,10,28,22,0,0
246001,0,39,14,25,21,0,0
247001,0,39,3,36,21,0,0
248001,0,35,10,25,25,0,1
249001,0,36,10,26,24,0,0
250001,0,39,19,20,21,0,0
251001,0,38,27,11,22,0,1
252001,0,35,23,12,25,0,1
253001,0,32,7,25,28,1,0
254001,0,40,16,24,20,0,0
255001,0,35,27,8,25,0,0
256001,0,35,32,3,25,0,1
257001,0,37,21,16,23,0,0
258001,0,31,9,22,29,1,0
259001,0,42,5,37,18,0,0
260001,0,42,17,25,18,1,0
261001,0,36,27,9,24,0,0
262001,0,29,16,13,31,0,0
263001,0,41,18,23,19,0,0
264001,0,37,15,22,23,0,0
265001,0,32,11,21,28,0,0
266001,0,35,28,7,25,0,0
267001,0,42,17,25,18,0,0
268001,0,35,8,27,25,0,0
269001,0,37,19,18,23,0,0
270001,0,24,15,9,36,1,0
271001,0,42,40,2,18,0,0
272001,0,39,26,13,21,0,0
273001,0,37,25,12,23,0,0
274001,0,36,19,17,24,0,1
275001,0,37,30,7,23,0,0
276001,0,38,20,18,22,0,1
277001,0,32,17,15,28,0,0
278001,0,31,12,19,29,0,0
279001,0,38,4,34,22,0,0
280001,0,29,4,25,31,0,0
281001,0,36,9,27,24,0,1
282001,0,41,18,23,19,1,0
283001,0,38,18,20,22,0,0
284001,0,32,23,9,28,0,1
285001,0,36,15,21,24,1,0
286001,0,35,15,20,25,0,0
287001,0,43,10,33,17,0,0
288001,0,36,21,15,24,0,0
289001,0,35,29,6,25,0,1
290001,0,44,37,7,16,0,0
291001,0,35,28,7,25,0,0
292001,0,34,28,6,26,0,0
293001,0,41,18,23,19,0,0
294001,0,34,6,28,26,0,1
295001,0,35,9,26,25,0,0
296001,0,35,6,29,25,0,0
297001,0,35,6,29,25,0,1
298001,0,42,4,38,18,0,0
299001,0,45,2,43,15,0,0
300001,0,30,9,21,30,0,0
301001,0,38,25,13,22,1,0
302001,0,34,15,19,26,0,1
303001,0,29,14,15,31,1,0
304001,0,41,31,10,19,0,0
305001,0,42,35,7,18,0,0
306001,0,45,39,6,15,0,0
307001,0,36,34,2,24,0,0
308001,0,38,33,5,22,0,0
309001,0,34,16,18,26,1,1
310001,0,31,13,18,29,0,0
311001,0,34,11,23,26,1,1
312001,0,40,9,31,20,0,0
313001,0,33,15,18,27,1,0
314001,0,32,9,23,28,0,0
315001,0,36,25,11,24,1,0
316001,0,38,33,5,22,0,0
317001,0,42,35,7,18,0,0
318001,0,38,33,5,22,0,0
319001,0,42,31,11,18,0,0
320001,0,37,8,29,23,0,0
321001,0,34,17,17,26,0,0
322001,0,43,16,27,17,0,0
323001,0,37,17,20,23,0,0
324001,0,38,14,24,22,0,0
325001,0,33,6,27,27,0,0
326001,0,44,3,41,16,0,1
327001,0,39,8,31,21,0,0
