F,Average_M_A_ratio
0.004982128296440723,0.1934039146221375
0.005925133789647667,0.179970454614407
0.007046629138455833,0.1796977489135819
0.00838039848175099,0.17955762307145892
0.009966620540544641,0.18361239168813515
0.011853078969396654,0.19551755378651356
0.014096601800300479,0.1944839686378152
0.016764773341111854,0.18507081626972777
0.019937970098074555,0.19200982132158817
0.023711782052959804,0.17734149945449107
0.028199892233831972,0.18608798411273622
0.03353750132417704,0.18801051735052
0.039885400473969705,0.1787397029170485
0.047434815002813276,0.180799640386666
0.05641316490778549,0.1722771611150078
0.067090915706623,0.19817409197000543
0.07978972599234528,0.1725406883252516
0.09489213713780134,0.1961776293948165
0.11285309704463901,0.2030169068929797
0.13421366508029933,0.19478929659280955
0.15961731105316154,0.20296122534215433
0.18982929921926026,0.19945278527747104
0.22575974124807618,0.2167829317343897
0.26849101259931907,0.2054469628414327
0.31931035820684445,0.21202218796898709
0.37974866968951876,0.20256457325214877
0.45162660222109946,0.20519239804265565
0.5371094202924727,0.21892295513394897
0.6387722245504129,0.22959497044482996
0.7596775246185372,0.2573204014913069
0.9034674947188499,0.2693396437052455
1.0744736912197408,0.27194493250340224
1.27784753726269,0.3255032037684898
1.519715505211359,0.3330692455914009
1.807363671668633,0.39363601077796245
2.1494572046320046,0.4199739266217772
2.556301394660048,0.44060269152362386
3.0401520934024218,0.4538216237352444
3.6155849112026335,0.547807144203107
4.299934295552292,0.6155882378371074
5.113815717279542,0.6428058874427448
6.081746694907667,0.6466677423390769
7.2328853650395315,0.715232585711741
8.60190884760242,0.837453758511695
10.230057865994725,0.7388223215497141
12.166379090470182,0.8192864488100272
14.469202629347707,0.8638819978755049
17.207899176272644,0.8910611224724917
20.464969746167274,0.886683950278678
24.338530951473206,0.9066535839097264
