F,Average_M_A_ratio
0.1,0.19058965416430604
0.11513953993264472,0.19088539376098188
0.13257113655901093,0.18827965747240097
0.15264179671752334,0.19131107412395587
0.1757510624854792,0.1971006965299637
0.20235896477251572,0.19950147707081842
0.2329951810515372,0.19700861581967058
0.2682695795279726,0.195818657303553
0.3088843596477481,0.19966285031068967
0.35564803062231287,0.2032789351381542
0.40949150623804254,0.21174431982127392
0.47148663634573934,0.22556429693455732
0.5428675439323859,0.22271298945101473
0.6250551925273973,0.23207712892008855
0.7196856730011519,0.23874057809262253
0.8286427728546845,0.24915407200361214
0.9540954763499939,0.273528819414507
1.0985411419875584,0.307068490276284
1.2648552168552958,0.30647714887643324
1.4563484775012436,0.33655617223571527
1.6768329368110082,0.3670939362730426
1.9306977288832496,0.38206739907615117
2.2229964825261943,0.4048896766242266
2.5595479226995357,0.4450431671923479
2.9470517025518097,0.4858297398101723
3.393221771895328,0.5132848810211681
3.906939937054617,0.5662504455838842
4.498432668969446,0.5859966238912229
5.17947467923121,0.6344157156042931
5.963623316594643,0.6756964082163697
6.8664884500430015,0.7376754664466549
7.906043210907698,0.7231111596738674
9.102981779915218,0.7638904187622956
10.481131341546853,0.8473745244892756
12.067926406393289,0.8010036244470347
13.894954943731374,0.8605289964005688
15.998587196060573,0.8328949357264696
18.420699693267164,0.8568762742366279
21.209508879201906,0.8786765916880999
24.420530945486497,0.9205553536063702
28.11768697974231,0.9089639693749959
32.374575428176435,0.9091583021022756
37.27593720314938,0.9561967557098578
42.91934260128778,0.9308160503104369
49.417133613238335,0.9320252030704429
56.89866029018293,0.9541253016801767
65.51285568595509,0.9609526951411538
75.43120063354615,0.9805442943765958
86.85113737513521,0.960478037367803
100.0,0.9700080990173452
